 AEGEAN ACE ,1992,  75 m X 11 m ,  1680 t ,  SVA2290 ,9038232,240897000
 AEGEAN BREEZE 1 ,2004,  80 m X 12 m ,  2400 t ,  SVAE8 ,9314466,240871000
 AEGEAN DAISY ,1978,  105 m X 16 m ,  4935 t ,  SVAE7 ,7729007,240860000
 AEGEAN FALCON ,2000,  190 m X 32 m ,  50296 t ,  S6AG3 ,9227792,563865000
 AEGEAN HARMONY ,2007,  249 m X 44 m ,  116460 t ,  SZVD ,9338917,240633000
 AEGEAN III ,1990,  80 m X 14 m ,  3145 t ,  SXHY ,8817564,240708000
 AEGEAN LEGEND ,2000,  243 m X 42 m ,  105278 t ,  SWSV ,9200964,239699000
 AEGEAN NAVIGATOR ,2007,  274 m X 47 m ,  159040 t ,  SWBI ,9326809,240634000
 AEGEAN ODYSSEY ,1973,  140 m X 20 m ,  4174 t ,  SWEO ,7225910,237588000
 AEGEAN ORION ,1991,  0 m X 0 m ,  559 t ,  SVA2487 ,8865640,239550200
 AEGEAN PEARL ,1978,  139 m X 24 m ,  9332 t ,  SWVR ,7722621,239871000
 AEGEAN POWER ,2007,  249 m X 44 m ,  114640 t ,  SXQH ,9338905,240594000
 AEGEAN ROSE ,1978,  107 m X 14 m ,  4866 t ,  SVAE4 ,7729019,240846000
 AEGEAN STAR ,1977,  136 m X 20 m ,  7299 t ,  SXEG ,7502942,239868000
 AEGEAN TIFFANY ,2004,  80 m X 12 m ,  2400 t ,  SVAE9 ,9314478,240870000
 AEGEAN V ,1970,  84 m X 12 m ,  2060 t ,  SY2371 ,7002083,237531200
 AEGEAN X ,1982,  116 m X 16 m ,  6400 t ,  A8UP8 ,8209664,636014537
 AEGEAN XII ,1979,  98 m X 14 m ,  3679 t ,  SVAD7 ,7910826,240790000
 AEGIS ,1976,  66 m X 14 m ,  1963 t ,  SVA2291 ,7432082,240896000
 AEL-I ,2006,  75 m X 14 m ,  3000 t ,  J8B3603 ,9361926,376345000
 AEOLOS KENTERIS II ,2001,  104 m X 15 m ,  450 t ,  SXXF ,9234757,239788000
 AEROESKOEBING ,1999,  50 m X 14 m ,  204 t ,  OZRK ,9199086,219000836
 AETEA SIERRA ,1984,  185 m X 23 m ,  28786 t ,  ZCNJ2 ,8200498,319033000
 AFAMIA ,1979,  144 m X 22 m ,  15844 t ,  9LB2193 ,7710642,667794000
 AFINA ,1983,  178 m X 30 m ,  35419 t ,  9HTM5 ,8029272,256237000
 AFRICAN AZALEA ,1978,  135 m X 19 m ,  8986 t ,  D5FQ ,7800368,636006270
 AFRICAN CAMELLIA ,1980,  135 m X 19 m ,  8991 t ,  ELAG5 ,8005719,636006849
 AFRICAN FALCON ,2003,  179 m X 26 m ,  27101 t ,  C6S2068 ,9257058,311293000
 AFRICAN HIGHWAY ,1982,  155 m X 27 m ,  9190 t ,  3E0D8 ,8100985,353633000
 AFRICAN ORCHID ,1998,  201 m X 32 m ,  18286 t ,  V2CG2 ,9151515,304143000
 AFRICANA ,2002,  225 m X 32 m ,  75592 t ,  ELZQ5 ,9231004,636011500
 AFROS IV ,1975,  80 m X 14 m ,  2520 t ,  SVA2308 ,7419042,240908000
